## created: 2023-02-09T13:16:56.531058
## script: /mnt/mnemo6/qingyao/paxDB/data-pipeline/src/update_api_inputs/create_taxonomy_tree.py
273057	2157	Sulfolobus solfataricus P2	archaea
4447	35493	Liliopsida	streptophyta
4565	4447	Triticum aestivum	liliopsida
10029	9989	Cricetulus griseus	rodentia
79929	28890	Methanothermobacter marburgensis str. Marburg	euryarchaeota
8364	7711	Xenopus (Silurana) tropicalis	chordata
4577	4447	Zea mays	liliopsida
584708	2	Aminomonas paucivorans DSM 12260	bacteria
572546	183980	Archaeoglobus profundus DSM 5631	archaeoglobi
3827	35493	Cicer arietinum	streptophyta
479437	201174	Eggerthella lenta DSM 2243	actinobacteria
73239	5794	Plasmodium yoelii yoelii	apicomplexa
214092	1236	Yersinia pestis CO92	gammaproteobacteria
265311	544448	Mesoplasma florum L1	tenericutes
309799	2	Dictyoglomus thermophilum H-6-12	bacteria
246200	1224	Ruegeria pomeroyi DSS-3	proteobacteria
190304	2	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	bacteria
44689	2759	Dictyostelium discoideum	eukaryota
212042	1224	Anaplasma phagocytophilum str. HZ	proteobacteria
9796	40674	Equus caballus	mammalia
5794	2759	Apicomplexa	eukaryota
64091	28890	Halobacterium sp. NRC-1	euryarchaeota
882	68525	Desulfovibrio vulgaris str. Hildenborough	delta/epsilon subdivisions
85962	68525	Helicobacter pylori 26695	delta/epsilon subdivisions
121845	6656	Diaphorina citri	arthropoda
411479	68336	Bacteroides uniformis ATCC 8492	bacteroidetes/chlorobi group
7460	6656	Apis mellifera	arthropoda
123214	2	Persephonella marina EX-H1	bacteria
3702	35493	Arabidopsis thaliana	streptophyta
2903	2759	Emiliania huxleyi	eukaryota
9544	9443	Macaca mulatta	primates
589924	183980	Ferroglobus placidus DSM 10642	archaeoglobi
35493	2759	Streptophyta	eukaryota
4891	4751	Saccharomycetes	fungi
9986	40674	Oryctolagus cuniculus	mammalia
243274	2	Thermotoga maritima MSB8	bacteria
523849	183968	Thermococcus litoralis DSM 5473	thermococci
3847	35493	Glycine max	streptophyta
3218	35493	Physcomitrella patens	streptophyta
709991	68336	Odoribacter splanchnicus DSM 20712	bacteroidetes/chlorobi group
263820	28890	Picrophilus torridus DSM 9790	euryarchaeota
189518	203691	Leptospira interrogans serovar Lai str. 56601	spirochaetes
9940	91561	Ovis aries	cetartiodactyla
55529	2759	Guillardia theta	eukaryota
1286170	1236	Raoultella ornithinolytica B6	gammaproteobacteria
8022	7711	Oncorhynchus mykiss	chordata
411461	1239	Dorea formicigenerans ATCC 27755	firmicutes
7147	6656	Diptera	arthropoda
5811	5794	Toxoplasma gondii	apicomplexa
5833	5794	Plasmodium falciparum	apicomplexa
1314	1239	Streptococcus pyogenes	firmicutes
272623	1239	Lactococcus lactis subsp. lactis Il1403	firmicutes
28890	2157	Euryarchaeota	archaea
321967	1239	Lactobacillus casei ATCC 334	firmicutes
515619	1239	Eubacterium rectale ATCC 33656	firmicutes
1148	1117	Synechocystis sp. PCC 6803	cyanobacteria
9913	91561	Bos taurus	cetartiodactyla
9615	40674	Canis lupus familiaris	mammalia
68336	2	Bacteroidetes/Chlorobi group	bacteria
4751	33154	Fungi	opisthokonta
722438	544448	Mycoplasma pneumoniae FH	tenericutes
30732	7711	Oryzias melastigma	chordata
283166	1224	Bartonella henselae str. Houston-1	proteobacteria
3635	35493	Gossypium hirsutum	streptophyta
2	1	Bacteria	luca
511051	2	Caldisericum exile AZM16c01	bacteria
224308	1239	Bacillus subtilis subsp. subtilis str. 168	firmicutes
7091	6656	Bombyx mori	arthropoda
522772	2	Denitrovibrio acetiphilus DSM 12809	bacteria
201174	2	Actinobacteria	bacteria
544448	2	Tenericutes	bacteria
89462	91561	Bubalus bubalis	cetartiodactyla
9606	9443	Homo sapiens	primates
1239	2	Firmicutes	bacteria
5691	5653	Trypanosoma brucei	kinetoplastida
88036	35493	Selaginella moellendorffii	streptophyta
6239	33208	Caenorhabditis elegans	metazoa
33208	33154	Metazoa	opisthokonta
593117	183968	Thermococcus gammatolerans EJ3	thermococci
190192	28890	Methanopyrus kandleri AV19	euryarchaeota
4513	4447	Hordeum vulgare	liliopsida
5061	4751	Aspergillus niger	fungi
272569	28890	Haloarcula marismortui ATCC 43049	euryarchaeota
224325	183980	Archaeoglobus fulgidus DSM 4304	archaeoglobi
411902	1239	[Clostridium] bolteae ATCC BAA-613	firmicutes
6656	33208	Arthropoda	metazoa
269797	28890	Methanosarcina barkeri str. Fusaro	euryarchaeota
4113	35493	Solanum tuberosum	streptophyta
272559	68336	Bacteroides fragilis NCTC 9343	bacteroidetes/chlorobi group
1236	1224	Gammaproteobacteria	proteobacteria
183980	28890	Archaeoglobi	euryarchaeota
7955	7711	Danio rerio	chordata
1114965	1239	Streptococcus parasanguinis FW213	firmicutes
546414	2	Deinococcus deserti VCD115	bacteria
8355	7711	Xenopus laevis	chordata
273075	28890	Thermoplasma acidophilum DSM 1728	euryarchaeota
4932	4891	Saccharomyces cerevisiae	saccharomycetes
192222	68525	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	delta/epsilon subdivisions
29760	35493	Vitis vinifera	streptophyta
272624	1236	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	gammaproteobacteria
3708	35493	Brassica napus	streptophyta
2711	35493	Citrus sinensis	streptophyta
160488	1236	Pseudomonas putida KT2440	gammaproteobacteria
195103	1239	Clostridium perfringens ATCC 13124	firmicutes
392499	1224	Sphingomonas wittichii RW1	proteobacteria
9031	7711	Gallus gallus	chordata
7159	7147	Aedes aegypti	diptera
257313	1224	Bordetella pertussis Tohama I	proteobacteria
166486	1239	Roseburia intestinalis	firmicutes
170187	1239	Streptococcus pneumoniae TIGR4	firmicutes
198214	1236	Shigella flexneri 2a str. 301	gammaproteobacteria
40674	7711	Mammalia	chordata
6945	6656	Ixodes scapularis	arthropoda
2759	1	Eukaryota	luca
5476	4891	Candida albicans	saccharomycetes
511145	1236	Escherichia coli str. K-12 substr. MG1655	gammaproteobacteria
67767	6656	Lasius niger	arthropoda
4097	35493	Nicotiana tabacum	streptophyta
537011	68336	Prevotella copri DSM 18205	bacteroidetes/chlorobi group
273116	28890	Thermoplasma volcanium GSS1	euryarchaeota
1123384	2	Thermotoga hypogea DSM 11164	bacteria
243230	2	Deinococcus radiodurans R1	bacteria
200940	2	Thermodesulfobacteria	bacteria
435590	68336	Bacteroides vulgatus ATCC 8482	bacteroidetes/chlorobi group
246196	201174	Mycobacterium smegmatis str. MC2 155	actinobacteria
7711	33208	Chordata	metazoa
5653	2759	Kinetoplastida	eukaryota
411477	68336	Parabacteroides merdae ATCC 43184	bacteroidetes/chlorobi group
2157	1	Archaea	luca
3880	35493	Medicago truncatula	streptophyta
9443	40674	Primates	mammalia
1140	1117	Synechococcus elongatus PCC 7942	cyanobacteria
289377	200940	Thermodesulfobacterium commune DSM 2178	thermodesulfobacteria
224326	203691	Borrelia burgdorferi B31	spirochaetes
768679	2157	Thermoproteus tenax Kra 1	archaea
214684	4751	Cryptococcus neoformans var. neoformans JEC21	fungi
203691	2	Spirochaetes	bacteria
9685	40674	Felis catus	mammalia
65489	4447	Oryza barthii	liliopsida
1117	2	Cyanobacteria	bacteria
2850	2759	Phaeodactylum tricornutum	eukaryota
347256	544448	Mycoplasma hominis ATCC 23114	tenericutes
